StationId,DateString,MaxTempF,MinTempF,Year,Month,Day,Date
235,01/01/2014,62.5,26,2014,0,01,"2014,0,01"
235,01/02/2014,68.3,30.6,2014,0,02,"2014,0,02"
235,01/03/2014,68.1,27.4,2014,0,03,"2014,0,03"
235,01/04/2014,70,27.4,2014,0,04,"2014,0,04"
235,01/05/2014,66.2,25.8,2014,0,05,"2014,0,05"
235,01/06/2014,64.1,28.2,2014,0,06,"2014,0,06"
235,01/07/2014,64.3,29.8,2014,0,07,"2014,0,07"
235,01/08/2014,58.1,30.7,2014,0,08,"2014,0,08"
235,01/09/2014,64.8,36.7,2014,0,09,"2014,0,09"
235,01/10/2014,64.3,28.9,2014,0,10,"2014,0,10"
235,01/11/2014,59.3,36.9,2014,0,11,"2014,0,11"
235,01/12/2014,62,31,2014,0,12,"2014,0,12"
235,01/13/2014,66.3,28.7,2014,0,13,"2014,0,13"
235,01/14/2014,65.9,31.3,2014,0,14,"2014,0,14"
235,01/15/2014,70.5,25.8,2014,0,15,"2014,0,15"
235,01/16/2014,73.6,21.6,2014,0,16,"2014,0,16"
235,01/17/2014,71.9,29.4,2014,0,17,"2014,0,17"
235,01/18/2014,73,25.6,2014,0,18,"2014,0,18"
235,01/19/2014,70.8,28.4,2014,0,19,"2014,0,19"
235,01/20/2014,73,26.7,2014,0,20,"2014,0,20"
235,01/21/2014,70.7,28.9,2014,0,21,"2014,0,21"
235,01/22/2014,69.9,24.1,2014,0,22,"2014,0,22"
235,01/23/2014,76.5,26.8,2014,0,23,"2014,0,23"
235,01/24/2014,79,38.3,2014,0,24,"2014,0,24"
235,01/25/2014,77.2,32.4,2014,0,25,"2014,0,25"
235,01/26/2014,70.1,32,2014,0,26,"2014,0,26"
235,01/27/2014,63.8,30.9,2014,0,27,"2014,0,27"
235,01/28/2014,70.4,41.6,2014,0,28,"2014,0,28"
235,01/29/2014,61.8,44.6,2014,0,29,"2014,0,29"
235,01/30/2014,66.3,47,2014,0,30,"2014,0,30"
235,01/31/2014,63.1,33.6,2014,0,31,"2014,0,31"
235,02/01/2014,61.8,29.8,2014,1,01,"2014,1,01"
235,02/02/2014,49,37.1,2014,1,02,"2014,1,02"
235,02/03/2014,59.5,31.5,2014,1,03,"2014,1,03"
235,02/04/2014,59.5,27.8,2014,1,04,"2014,1,04"
235,02/05/2014,54.6,24.8,2014,1,05,"2014,1,05"
235,02/06/2014,48.7,41.9,2014,1,06,"2014,1,06"
235,02/07/2014,51.2,46.2,2014,1,07,"2014,1,07"
235,02/08/2014,55.7,50.3,2014,1,08,"2014,1,08"
235,02/09/2014,58.5,55.1,2014,1,09,"2014,1,09"
235,02/10/2014,66.2,46.8,2014,1,10,"2014,1,10"
235,02/11/2014,64.9,42.9,2014,1,11,"2014,1,11"
235,02/12/2014,65.2,46.2,2014,1,12,"2014,1,12"
235,02/13/2014,71.8,50.3,2014,1,13,"2014,1,13"
235,02/14/2014,66.7,50.8,2014,1,14,"2014,1,14"
235,02/15/2014,61.8,51.2,2014,1,15,"2014,1,15"
235,02/16/2014,66.4,39.5,2014,1,16,"2014,1,16"
235,02/17/2014,63.5,33.7,2014,1,17,"2014,1,17"
235,02/18/2014,63.6,37.2,2014,1,18,"2014,1,18"
235,02/19/2014,66,42.7,2014,1,19,"2014,1,19"
235,02/20/2014,68.6,38.2,2014,1,20,"2014,1,20"
235,02/21/2014,72.3,35.9,2014,1,21,"2014,1,21"
235,02/22/2014,73,34.3,2014,1,22,"2014,1,22"
235,02/23/2014,74.4,36.3,2014,1,23,"2014,1,23"
235,02/24/2014,78,37.1,2014,1,24,"2014,1,24"
235,02/25/2014,75.3,38.3,2014,1,25,"2014,1,25"
235,02/26/2014,62,48.4,2014,1,26,"2014,1,26"
235,02/27/2014,66.8,46.4,2014,1,27,"2014,1,27"
235,02/28/2014,60.9,49.4,2014,1,28,"2014,1,28"
235,03/01/2014,67.4,48.6,2014,2,01,"2014,2,01"
235,03/02/2014,61.2,45.2,2014,2,02,"2014,2,02"
235,03/03/2014,58.1,49.7,2014,2,03,"2014,2,03"
235,03/04/2014,63.5,50.8,2014,2,04,"2014,2,04"
235,03/05/2014,67,51.4,2014,2,05,"2014,2,05"
235,03/06/2014,68.9,44.9,2014,2,06,"2014,2,06"
235,03/07/2014,72.3,43.3,2014,2,07,"2014,2,07"
235,03/08/2014,70.6,35.9,2014,2,08,"2014,2,08"
235,03/09/2014,67.7,52.5,2014,2,09,"2014,2,09"
235,03/10/2014,68.9,49.2,2014,2,10,"2014,2,10"
235,03/11/2014,70.6,44,2014,2,11,"2014,2,11"
235,03/12/2014,75.3,39.9,2014,2,12,"2014,2,12"
235,03/13/2014,78.6,36.7,2014,2,13,"2014,2,13"
235,03/14/2014,76.3,40,2014,2,14,"2014,2,14"
235,03/15/2014,81.2,43.1,2014,2,15,"2014,2,15"
235,03/16/2014,78.3,41.4,2014,2,16,"2014,2,16"
235,03/17/2014,69.9,43.3,2014,2,17,"2014,2,17"
235,03/18/2014,73.9,45.9,2014,2,18,"2014,2,18"
235,03/19/2014,77.6,33.7,2014,2,19,"2014,2,19"
235,03/20/2014,79.7,40.4,2014,2,20,"2014,2,20"
